Comment,positive,negative,neutral
Smooth. Transaction.,0.0,0.0,1.0
Super work,0.796,0.0,0.204
Excellent app,0.787,0.0,0.213
Super,1.0,0.0,0.0
Bijoyprasad,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Very very satisfactory.,0.606,0.0,0.394
Good,1.0,0.0,0.0
Running total to be displayed in statement,0.0,0.0,1.0
very good,0.762,0.0,0.238
Nice,1.0,0.0,0.0
It's fast and easy to use,0.367,0.0,0.633
Mast,0.0,0.0,1.0
"Reward or scratch card me kuchh dhanka diya Karo be ðŸ™„ Esi offer dete ho Jo kutaa bhi use na kare, ðŸ˜‚ kuchh pay karne par cash back ya translation par cash back Esi offer do",0.095,0.036,0.87
Easy to use. Transaction fatafat. Nice app.,0.533,0.0,0.467
Jafar,0.0,0.0,1.0
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Super fast,0.796,0.0,0.204
Ok,1.0,0.0,0.0
Irritating to update,0.0,0.6,0.4
I like this app,0.556,0.0,0.444
Good,1.0,0.0,0.0
Very good aap,0.615,0.0,0.385
Contact list now showing unable to pay through contact.,0.0,0.149,0.851
"Fake.. Having trouble in using wallet amount. Tried to close the wallet/Deactivating Phone pe account,but ,nothing is working Utterly Disappointed.",0.0,0.253,0.747
Processing fee ðŸ‘ŽðŸ‘ŽðŸ‘Ž,0.0,0.0,1.0
excellent,1.0,0.0,0.0
Good,1.0,0.0,0.0
Best,1.0,0.0,0.0
Helpful,1.0,0.0,0.0
Wow,1.0,0.0,0.0
Super,1.0,0.0,0.0
Good,1.0,0.0,0.0
Bad experience for no reason phonepe blocked my account,0.0,0.565,0.435
NYC,0.0,0.0,1.0
Jay shree ram,0.0,0.0,1.0
Excellent,1.0,0.0,0.0
Very Use full app,0.0,0.0,1.0
Good but not perfect,0.245,0.503,0.252
Is good app,0.592,0.0,0.408
"worst app, no cashbacks at all",0.0,0.612,0.388
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good feeling,1.0,0.0,0.0
Super,1.0,0.0,0.0
Very nice.,0.756,0.0,0.244
Excellent app amazing features but phone pe casback nahi deta rewards kisisi kaam ke nahi hote please sir cashback mile tab na payment karne maja aayega.,0.35,0.0,0.65
Good,1.0,0.0,0.0
Best ever,0.808,0.0,0.192
Good,1.0,0.0,0.0
Just hate alia bhatt advertising your brand,0.0,0.381,0.619
Nice phone but Recharge 1 extra,0.322,0.0,0.678
Super,1.0,0.0,0.0
best app,0.808,0.0,0.192
Super app,0.796,0.0,0.204
Very good,0.762,0.0,0.238
Nice to use,0.583,0.0,0.417
Nice one,0.737,0.0,0.263
Nyc,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good day,0.744,0.0,0.256
Opn,0.0,0.0,1.0
Best,1.0,0.0,0.0
Co ol one,0.0,0.0,1.0
Good app,0.744,0.0,0.256
Fantastic app,0.783,0.0,0.217
Best,1.0,0.0,0.0
Nice ,1.0,0.0,0.0
Worst money management app,0.0,0.577,0.423
highly recommended,0.677,0.0,0.323
Quite good,0.762,0.0,0.238
Extraordinary application,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Bast app,0.0,0.0,1.0
Superb,1.0,0.0,0.0
I believe in this app very good and easy process,0.476,0.0,0.524
"""3rd"" time they deleted my review. Phone pe is charging money for recharges above 50 RS.They are deleting this again and again,i will keep posting the same again and again.",0.0,0.0,1.0
It's very good,0.0,0.0,1.0
Xllent,0.0,0.0,1.0
Very nice phonepe app very good,0.611,0.0,0.389
Good,1.0,0.0,0.0
Extra Charges on mobile recharge. Useless,0.0,0.551,0.449
Best cashbacks given,0.677,0.0,0.323
Good,1.0,0.0,0.0
Super,1.0,0.0,0.0
Transactions are very fast and immediately,0.0,0.0,1.0
Nako 5000rs kavali,0.0,0.0,1.0
Super,1.0,0.0,0.0
Super,1.0,0.0,0.0
Charging fees,0.0,0.0,1.0
Very nice,0.756,0.0,0.244
